all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
M Manhas,78,Delhi Daredevils,Deccan Chargers,SuperSport Park,2,3,2,150,3,0,3,11.5,9.5,3,156.891025641026,16.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,81,Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,2,0,4,0,-2,0,-2,7,-2,-2,117.668269230769,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
M Manhas,102,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,1,26,28,92.8571428571429,20,0,20,18,20,20,112.706043956044,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,108,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,1,0,2,0,-2,0,-2,11.3333333333333,-2,9,93.9217032967033,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
M Manhas,117,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,31,24,129.166666666667,29,0,29,12.5,29,24.5,98.956698063841,15.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,121,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",2,11,10,110,8,0,8,11.6,8,12,100.337110805861,14.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,124,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2,1,3,33.3333333333333,1,0,1,9.83333333333333,1,1,92.8922466422467,13.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,126,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,1,32,22,145.454545454545,23,0,23,14.25,12,10.5,98.1484765234765,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,130,Delhi Daredevils,Deccan Chargers,Barabati Stadium,2,8,8,100,5,0,5,9.14285714285714,5,4,98.3167968395241,14.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,160,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,1,26,28,92.8571428571429,23,0,23,16,15.6666666666667,24,97.8618256743257,15.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,165,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,25,34,73.5294117647059,19,0,19,10.375,19,13.3333333333333,95.9901015274319,16.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,170,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2,23,22,104.545454545455,17,0,17,11.1111111111111,16,8.33333333333333,96.6011981715764,16.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,179,Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,2,35,33,106.060606060606,21,0,21,12.1,21,23.25,97.2318253641783,17.8,1,14,0,4.66666666666667,3,0,6,0,6,6,6,14,4.66666666666667,0,0,3,8.5
M Manhas,184,Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2,12,19,63.1578947368421,7,0,7,11.6363636363636,14,7,95.1022046999698,17.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
