wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
KK Nair,681,Batsman,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,29,1,2,0,0,0,17,170.588235294118,9,0,0,0,0,0,0,0,0,20,6,26,0,26,9.75,23.75,16.9230769230769,23.537037037037,112.533052452085,23,14,13.962962962963,16.6851851851852,18.7407407407407
KK Nair,685,Batsman,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,31,1,3,0,0,0,22,140.909090909091,9,0,0,0,0,4,0,0,0,23,2,25,0,25,17.3333333333333,24,17.2222222222222,23.6727272727273,113.048980424031,23.4,18,14.0363636363636,16.8363636363636,18.8
KK Nair,691,Batsman,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,1,34,0,4,0,0,0,33,103.030303030303,8.5,0,0,0,0,4,0,0,0,26,0,26,0,26,33.1666666666667,20.8571428571429,17.5357142857143,23.8571428571429,112.870075470571,23.8333333333333,16,14.0714285714286,17,19.0535714285714
KK Nair,694,Batsman,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,13,0,0,0,0,0,17,76.4705882352941,8.5,0,0,0,0,0,0,0,0,13,0,13,0,13,16.9,13.5,16.3448275862069,23.6666666666667,112.231487975216,22.2857142857143,0,13.8245614035088,16.9298245614035,19.0175438596491
KK Nair,703,Batsman,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,1,23,2,1,0,0,0,12,191.666666666667,9.5,0,0,0,0,0,0,0,0,14,6,20,0,20,11.8,20,17.6206896551724,23.6551724137931,113.60106002162,22,16,13.8620689655172,16.9827586206897,18.8965517241379
KK Nair,707,Batsman,Kings XI Punjab,Rajasthan Royals,Holkar Cricket Stadium,2,31,2,2,0,0,0,23,134.782608695652,9,0,0,0,0,4,0,0,0,23,2,25,0,25,25,22.5,16.6333333333333,23.7796610169492,113.96006932118,22.3333333333333,20,13.9661016949153,17.1186440677966,18.9661016949153
KK Nair,709,Batsman,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2,3,0,0,0,0,0,5,60,8.5,0,0,0,0,0,0,0,0,3,0,3,0,3,14,3,16.1935483870968,23.4333333333333,113.060734832494,20.4,0,13.7333333333333,16.8833333333333,18.7333333333333
KK Nair,713,Batsman,Kings XI Punjab,Kolkata Knight Riders,Holkar Cricket Stadium,2,3,0,0,0,0,0,6,50,8,0,0,0,0,0,0,0,0,3,0,3,0,3,15.375,16,15.78125,23.0983606557377,112.026952294256,18.8181818181818,0,13.5081967213115,16.655737704918,18.5245901639344
KK Nair,717,Batsman,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,1,1,0,0,0,0,0,3,33.3333333333333,8,0,0,0,0,0,0,0,0,1,0,1,0,1,14.9,12.25,17.0666666666667,22.741935483871,110.757700375531,17.3333333333333,0,13.2903225806452,16.4032258064516,18.2741935483871
KK Nair,725,Batsman,Kings XI Punjab,Chennai Super Kings,Maharashtra Cricket Association Stadium,1,54,5,3,1,0,0,27,200,9.5,0,0,0,0,0,8,0,0,38,6,44,0,44,16.6,18.3333333333333,17.9354838709677,23.2380952380952,112.174244814015,19.3846153846154,42,13.7460317460317,16.8412698412698,18.4126984126984
